iter	Passed	Remaining
0	1533	1532352
1	3123	1558494
2	4566	1517762
3	5973	1487438
4	7363	1465309
5	8804	1458641
6	10117	1435253
7	11478	1423294
8	12712	1399765
9	13976	1383646
10	15172	1364180
11	16372	1347980
12	17774	1349514
13	19221	1353773
14	20658	1356558
15	22276	1370017
16	23680	1369268
17	25081	1368317
18	26462	1366301
19	27788	1361619
20	29137	1358362
21	30469	1354508
22	31825	1351890
23	32992	1341694
24	34100	1329929
25	35389	1325759
26	36630	1320047
27	37884	1315132
28	39205	1312709
